,Fecha,Ejercicio,Mes,Grupo,Tipo,CuentaContable,DescripcionCuenta,ClienteID,ProductoID,Importe
0,2023-01-01,2023,1,6,Gasto,625000,Primas de seguros,0,0,-12007
1,2023-01-01,2023,1,6,Gasto,606000,Descuentos sobre compras,0,0,613
2,2023-01-01,2023,1,6,Gasto,600000,Compras de mercaderías,0,0,-11246
3,2023-01-01,2023,1,6,Gasto,627000,"Publicidad, propaganda y relaciones públicas",0,0,-7027
4,2023-01-01,2023,1,6,Gasto,601000,Compras de materias primas,0,0,-15960
5,2023-01-01,2023,1,6,Gasto,627000,"Publicidad, propaganda y relaciones públicas",0,0,-5906
6,2023-01-01,2023,1,6,Gasto,628000,Suministros,0,0,-1848
7,2023-01-01,2023,1,6,Gasto,623000,Servicios profesionales independientes,0,0,-19768
8,2023-01-01,2023,1,6,Gasto,622000,Reparaciones y conservación,0,0,-3128
9,2023-01-02,2023,1,6,Gasto,622000,Reparaciones y conservación,0,0,-18839
10,2023-01-02,2023,1,6,Gasto,600000,Compras de mercaderías,0,0,-13023
11,2023-01-02,2023,1,6,Gasto,601000,Compras de materias primas,0,0,-16658
12,2023-01-02,2023,1,6,Gasto,628000,Suministros,0,0,-9778
13,2023-01-02,2023,1,6,Gasto,602000,Otros aprovisionamientos,0,0,-15337
14,2023-01-02,2023,1,6,Gasto,600000,Compras de mercaderías,0,0,-12863
15,2023-01-03,2023,1,6,Gasto,642000,Seguridad Social a cargo de la empresa,0,0,-22280
16,2023-01-03,2023,1,6,Gasto,624000,Transportes,0,0,-24735
17,2023-01-03,2023,1,6,Gasto,601000,Compras de materias primas,0,0,-16806
18,2023-01-03,2023,1,6,Gasto,640000,Sueldos y salarios,0,0,-4146
19,2023-01-03,2023,1,6,Gasto,624000,Transportes,0,0,-7164
20,2023-01-03,2023,1,6,Gasto,628000,Suministros,0,0,-18693
21,2023-01-03,2023,1,6,Gasto,622000,Reparaciones y conservación,0,0,-10684
22,2023-01-04,2023,1,6,Gasto,602000,Otros aprovisionamientos,0,0,-23413
23,2023-01-04,2023,1,6,Gasto,642000,Seguridad Social a cargo de la empresa,0,0,-1065
24,2023-01-04,2023,1,6,Gasto,623000,Servicios profesionales independientes,0,0,-13939
25,2023-01-04,2023,1,6,Gasto,622000,Reparaciones y conservación,0,0,-9156
26,2023-01-04,2023,1,6,Gasto,628000,Suministros,0,0,-8955
27,2023-01-05,2023,1,6,Gasto,642000,Seguridad Social a cargo de la empresa,0,0,-4878
28,2023-01-05,2023,1,6,Gasto,621000,Arrendamientos y cánones,0,0,-15309
29,2023-01-05,2023,1,6,Gasto,622000,Reparaciones y conservación,0,0,-20079
30,2023-01-05,2023,1,6,Gasto,623000,Servicios profesionales independientes,0,0,-16992
31,2023-01-05,2023,1,6,Gasto,625000,Primas de seguros,0,0,-21657
32,2023-01-05,2023,1,6,Gasto,621000,Arrendamientos y cánones,0,0,-7418
33,2023-01-05,2023,1,6,Gasto,624000,Transportes,0,0,-14611
34,2023-01-05,2023,1,6,Gasto,602000,Otros aprovisionamientos,0,0,-4274
35,2023-01-05,2023,1,6,Gasto,627000,"Publicidad, propaganda y relaciones públicas",0,0,-23494
36,2023-01-05,2023,1,6,Gasto,642000,Seguridad Social a cargo de la empresa,0,0,-24639
37,2023-01-06,2023,1,6,Gasto,600000,Compras de mercaderías,0,0,-11752
38,2023-01-06,2023,1,6,Gasto,600000,Compras de mercaderías,0,0,-24091
39,2023-01-06,2023,1,6,Gasto,600000,Compras de mercaderías,0,0,-26908
40,2023-01-06,2023,1,6,Gasto,606000,Descuentos sobre compras,0,0,2902
41,2023-01-06,2023,1,6,Gasto,628000,Suministros,0,0,-16624
42,2023-01-06,2023,1,6,Gasto,602000,Otros aprovisionamientos,0,0,-26148
43,2023-01-06,2023,1,6,Gasto,640000,Sueldos y salarios,0,0,-18248
44,2023-01-06,2023,1,6,Gasto,622000,Reparaciones y conservación,0,0,-18328
45,2023-01-06,2023,1,6,Gasto,628000,Suministros,0,0,-8663
46,2023-01-06,2023,1,6,Gasto,642000,Seguridad Social a cargo de la empresa,0,0,-2831
47,2023-01-06,2023,1,6,Gasto,602000,Otros aprovisionamientos,0,0,-13026
48,2023-01-06,2023,1,6,Gasto,602000,Otros aprovisionamientos,0,0,-24768
49,2023-01-06,2023,1,6,Gasto,628000,Suministros,0,0,-25766
50,2023-01-07,2023,1,6,Gasto,600000,Compras de mercaderías,0,0,-23310
51,2023-01-07,2023,1,6,Gasto,622000,Reparaciones y conservación,0,0,-13748
52,2023-01-07,2023,1,6,Gasto,623000,Servicios profesionales independientes,0,0,-23759
53,2023-01-07,2023,1,6,Gasto,642000,Seguridad Social a cargo de la empresa,0,0,-2404
54,2023-01-07,2023,1,6,Gasto,600000,Compras de mercaderías,0,0,-12051
55,2023-01-07,2023,1,6,Gasto,601000,Compras de materias primas,0,0,-26405
56,2023-01-07,2023,1,6,Gasto,606000,Descuentos sobre compras,0,0,1943
57,2023-01-08,2023,1,6,Gasto,621000,Arrendamientos y cánones,0,0,-26608
58,2023-01-08,2023,1,6,Gasto,606000,Descuentos sobre compras,0,0,2130
59,2023-01-08,2023,1,6,Gasto,642000,Seguridad Social a cargo de la empresa,0,0,-3542
60,2023-01-08,2023,1,6,Gasto,624000,Transportes,0,0,-1218
61,2023-01-08,2023,1,6,Gasto,642000,Seguridad Social a cargo de la empresa,0,0,-22646
62,2023-01-08,2023,1,6,Gasto,621000,Arrendamientos y cánones,0,0,-16446
63,2023-01-09,2023,1,6,Gasto,623000,Servicios profesionales independientes,0,0,-20118
64,2023-01-09,2023,1,6,Gasto,626000,Servicios bancarios,0,0,-5370
65,2023-01-09,2023,1,6,Gasto,625000,Primas de seguros,0,0,-5878
66,2023-01-09,2023,1,6,Gasto,640000,Sueldos y salarios,0,0,-25419
67,2023-01-09,2023,1,6,Gasto,627000,"Publicidad, propaganda y relaciones públicas",0,0,-19994
68,2023-01-09,2023,1,6,Gasto,624000,Transportes,0,0,-742
69,2023-01-09,2023,1,6,Gasto,642000,Seguridad Social a cargo de la empresa,0,0,-13115
70,2023-01-09,2023,1,6,Gasto,624000,Transportes,0,0,-21665
71,2023-01-09,2023,1,6,Gasto,601000,Compras de materias primas,0,0,-7911
