,Fecha,Ejercicio,Mes,Grupo,Tipo,CuentaContable,DescripcionCuenta,ClienteID,ProductoID,Importe
0,2023-01-01,2023,1,6,Gasto,665000,Pérdidas por morosidad,0,0,-9469
1,2023-01-01,2023,1,6,Gasto,681000,Amortización del inmovilizado material,0,0,-5137
2,2023-01-01,2023,1,6,Gasto,660000,Gastos financieros,0,0,-19628
3,2023-01-02,2023,1,6,Gasto,660000,Gastos financieros,0,0,-7249
4,2023-01-02,2023,1,6,Gasto,660000,Gastos financieros,0,0,-25194
5,2023-01-02,2023,1,6,Gasto,630000,Impuesto sobre beneficios,0,0,-32437
6,2023-01-02,2023,1,6,Gasto,678000,Gastos extraordinarios,0,0,-40584
7,2023-01-02,2023,1,6,Gasto,681000,Amortización del inmovilizado material,0,0,-21004
8,2023-01-02,2023,1,6,Gasto,630000,Impuesto sobre beneficios,0,0,-6439
9,2023-01-02,2023,1,6,Gasto,681000,Amortización del inmovilizado material,0,0,-23319
10,2023-01-03,2023,1,6,Gasto,660000,Gastos financieros,0,0,-18885
11,2023-01-03,2023,1,6,Gasto,678000,Gastos extraordinarios,0,0,-27071
12,2023-01-03,2023,1,6,Gasto,665000,Pérdidas por morosidad,0,0,-10616
13,2023-01-03,2023,1,6,Gasto,681000,Amortización del inmovilizado material,0,0,-11478
14,2023-01-03,2023,1,6,Gasto,630000,Impuesto sobre beneficios,0,0,-18946
15,2023-01-03,2023,1,6,Gasto,665000,Pérdidas por morosidad,0,0,-14238
16,2023-01-03,2023,1,6,Gasto,681000,Amortización del inmovilizado material,0,0,-6338
17,2023-01-04,2023,1,6,Gasto,681000,Amortización del inmovilizado material,0,0,-33543
18,2023-01-04,2023,1,6,Gasto,665000,Pérdidas por morosidad,0,0,-11232
19,2023-01-04,2023,1,6,Gasto,665000,Pérdidas por morosidad,0,0,-27317
20,2023-01-04,2023,1,6,Gasto,630000,Impuesto sobre beneficios,0,0,-20278
21,2023-01-05,2023,1,6,Gasto,665000,Pérdidas por morosidad,0,0,-7519
22,2023-01-05,2023,1,6,Gasto,681000,Amortización del inmovilizado material,0,0,-16169
23,2023-01-05,2023,1,6,Gasto,681000,Amortización del inmovilizado material,0,0,-9464
24,2023-01-05,2023,1,6,Gasto,630000,Impuesto sobre beneficios,0,0,-23195
25,2023-01-06,2023,1,6,Gasto,665000,Pérdidas por morosidad,0,0,-10164
26,2023-01-06,2023,1,6,Gasto,630000,Impuesto sobre beneficios,0,0,-12625
27,2023-01-06,2023,1,6,Gasto,630000,Impuesto sobre beneficios,0,0,-5821
28,2023-01-06,2023,1,6,Gasto,681000,Amortización del inmovilizado material,0,0,-27027
29,2023-01-06,2023,1,6,Gasto,630000,Impuesto sobre beneficios,0,0,-6209
30,2023-01-06,2023,1,6,Gasto,681000,Amortización del inmovilizado material,0,0,-23198
31,2023-01-07,2023,1,6,Gasto,678000,Gastos extraordinarios,0,0,-29624
32,2023-01-07,2023,1,6,Gasto,630000,Impuesto sobre beneficios,0,0,-4282
33,2023-01-07,2023,1,6,Gasto,681000,Amortización del inmovilizado material,0,0,-30194
34,2023-01-07,2023,1,6,Gasto,660000,Gastos financieros,0,0,-12546
35,2023-01-07,2023,1,6,Gasto,660000,Gastos financieros,0,0,-18644
36,2023-01-08,2023,1,6,Gasto,630000,Impuesto sobre beneficios,0,0,-22741
37,2023-01-08,2023,1,6,Gasto,678000,Gastos extraordinarios,0,0,-23960
38,2023-01-08,2023,1,6,Gasto,630000,Impuesto sobre beneficios,0,0,-31550
39,2023-01-08,2023,1,6,Gasto,630000,Impuesto sobre beneficios,0,0,-16380
40,2023-01-09,2023,1,6,Gasto,630000,Impuesto sobre beneficios,0,0,-27128
41,2023-01-09,2023,1,6,Gasto,681000,Amortización del inmovilizado material,0,0,-19883
42,2023-01-09,2023,1,6,Gasto,678000,Gastos extraordinarios,0,0,-18800
43,2023-01-09,2023,1,6,Gasto,630000,Impuesto sobre beneficios,0,0,-29297
44,2023-01-09,2023,1,6,Gasto,660000,Gastos financieros,0,0,-8746
45,2023-01-10,2023,1,6,Gasto,665000,Pérdidas por morosidad,0,0,-3160
46,2023-01-10,2023,1,6,Gasto,665000,Pérdidas por morosidad,0,0,-32127
47,2023-01-10,2023,1,6,Gasto,630000,Impuesto sobre beneficios,0,0,-24710
48,2023-01-10,2023,1,6,Gasto,678000,Gastos extraordinarios,0,0,-18708
49,2023-01-11,2023,1,6,Gasto,665000,Pérdidas por morosidad,0,0,-23771
50,2023-01-11,2023,1,6,Gasto,678000,Gastos extraordinarios,0,0,-21036
51,2023-01-11,2023,1,6,Gasto,681000,Amortización del inmovilizado material,0,0,-32827
52,2023-01-11,2023,1,6,Gasto,678000,Gastos extraordinarios,0,0,-34952
53,2023-01-12,2023,1,6,Gasto,630000,Impuesto sobre beneficios,0,0,-7022
54,2023-01-12,2023,1,6,Gasto,660000,Gastos financieros,0,0,-10652
55,2023-01-12,2023,1,6,Gasto,660000,Gastos financieros,0,0,-18122
56,2023-01-12,2023,1,6,Gasto,681000,Amortización del inmovilizado material,0,0,-22222
57,2023-01-12,2023,1,6,Gasto,630000,Impuesto sobre beneficios,0,0,-27676
58,2023-01-12,2023,1,6,Gasto,665000,Pérdidas por morosidad,0,0,-23185
59,2023-01-13,2023,1,6,Gasto,678000,Gastos extraordinarios,0,0,-35154
60,2023-01-13,2023,1,6,Gasto,678000,Gastos extraordinarios,0,0,-4104
61,2023-01-13,2023,1,6,Gasto,678000,Gastos extraordinarios,0,0,-8704
62,2023-01-13,2023,1,6,Gasto,678000,Gastos extraordinarios,0,0,-40446
63,2023-01-13,2023,1,6,Gasto,678000,Gastos extraordinarios,0,0,-29772
64,2023-01-13,2023,1,6,Gasto,660000,Gastos financieros,0,0,-15293
65,2023-01-14,2023,1,6,Gasto,678000,Gastos extraordinarios,0,0,-35635
66,2023-01-14,2023,1,6,Gasto,665000,Pérdidas por morosidad,0,0,-23220
67,2023-01-14,2023,1,6,Gasto,660000,Gastos financieros,0,0,-17860
68,2023-01-14,2023,1,6,Gasto,665000,Pérdidas por morosidad,0,0,-4548
69,2023-01-15,2023,1,6,Gasto,678000,Gastos extraordinarios,0,0,-13204
70,2023-01-15,2023,1,6,Gasto,630000,Impuesto sobre beneficios,0,0,-20056
71,2023-01-15,2023,1,6,Gasto,678000,Gastos extraordinarios,0,0,-9772
72,2023-01-15,2023,1,6,Gasto,630000,Impuesto sobre beneficios,0,0,-29122
73,2023-01-15,2023,1,6,Gasto,660000,Gastos financieros,0,0,-22766
74,2023-01-16,2023,1,6,Gasto,678000,Gastos extraordinarios,0,0,-22777
