Fecha,Ejercicio,Mes,CuentaContable,DescripcionCuenta,ClienteID,ProductoID,Importe
2023-01-01,2023,1,704000,Descuentos sobre ventas,29,11,-2743
2023-01-01,2023,1,705000,Prestaciones de servicios,46,6,12757
2023-01-01,2023,1,705000,Prestaciones de servicios,12,9,6585
2023-01-01,2023,1,704000,Descuentos sobre ventas,44,9,-1034
2023-01-01,2023,1,705000,Prestaciones de servicios,22,7,16624
2023-01-01,2023,1,700000,Ventas de mercaderías,11,9,24081
2023-01-01,2023,1,705000,Prestaciones de servicios,36,7,6618
2023-01-01,2023,1,700000,Ventas de mercaderías,46,4,16280
2023-01-01,2023,1,704000,Descuentos sobre ventas,23,4,-1602
2023-01-01,2023,1,700000,Ventas de mercaderías,23,11,12241
2023-01-02,2023,1,701000,Ventas de productos terminados,45,2,15982
2023-01-02,2023,1,704000,Descuentos sobre ventas,47,10,-4130
2023-01-02,2023,1,705000,Prestaciones de servicios,50,5,3622
2023-01-02,2023,1,706000,Ingresos accesorios,3,3,19419
2023-01-02,2023,1,705000,Prestaciones de servicios,6,5,14391
2023-01-02,2023,1,704000,Descuentos sobre ventas,34,11,-3202
2023-01-02,2023,1,704000,Descuentos sobre ventas,31,6,-3763
2023-01-02,2023,1,701000,Ventas de productos terminados,24,10,14383
2023-01-02,2023,1,704000,Descuentos sobre ventas,16,5,-2657
2023-01-02,2023,1,706000,Ingresos accesorios,27,1,15481
2023-01-03,2023,1,704000,Descuentos sobre ventas,28,1,-2967
2023-01-03,2023,1,706000,Ingresos accesorios,34,5,10994
2023-01-03,2023,1,706000,Ingresos accesorios,20,6,6063
2023-01-03,2023,1,705000,Prestaciones de servicios,26,12,23252
2023-01-03,2023,1,702000,Ventas de subproductos,43,3,1916
2023-01-03,2023,1,706000,Ingresos accesorios,12,11,24031
2023-01-03,2023,1,702000,Ventas de subproductos,25,5,3169
2023-01-03,2023,1,706000,Ingresos accesorios,42,12,13269
2023-01-03,2023,1,706000,Ingresos accesorios,23,1,4913
2023-01-03,2023,1,702000,Ventas de subproductos,1,12,1240
2023-01-03,2023,1,704000,Descuentos sobre ventas,38,3,-4309
2023-01-03,2023,1,701000,Ventas de productos terminados,23,4,9742
2023-01-03,2023,1,704000,Descuentos sobre ventas,22,9,-2734
2023-01-04,2023,1,704000,Descuentos sobre ventas,19,3,-4255
2023-01-04,2023,1,701000,Ventas de productos terminados,3,5,12097
2023-01-04,2023,1,700000,Ventas de mercaderías,3,7,1444
2023-01-04,2023,1,704000,Descuentos sobre ventas,39,1,-2713
2023-01-04,2023,1,701000,Ventas de productos terminados,27,12,6630
2023-01-05,2023,1,700000,Ventas de mercaderías,13,6,15345
2023-01-05,2023,1,701000,Ventas de productos terminados,32,12,3255
2023-01-05,2023,1,701000,Ventas de productos terminados,6,12,23143
2023-01-05,2023,1,705000,Prestaciones de servicios,49,10,12860
2023-01-05,2023,1,706000,Ingresos accesorios,5,8,20469
2023-01-05,2023,1,700000,Ventas de mercaderías,20,10,7790
2023-01-05,2023,1,706000,Ingresos accesorios,30,12,13647
2023-01-05,2023,1,701000,Ventas de productos terminados,14,7,19908
2023-01-05,2023,1,701000,Ventas de productos terminados,45,12,16529
2023-01-05,2023,1,705000,Prestaciones de servicios,9,5,1946
2023-01-05,2023,1,702000,Ventas de subproductos,48,5,24790
2023-01-05,2023,1,704000,Descuentos sobre ventas,25,5,-3680
2023-01-06,2023,1,700000,Ventas de mercaderías,2,1,20826
2023-01-06,2023,1,704000,Descuentos sobre ventas,15,3,-743
2023-01-06,2023,1,704000,Descuentos sobre ventas,14,4,-2149
2023-01-06,2023,1,706000,Ingresos accesorios,48,5,15150
2023-01-06,2023,1,706000,Ingresos accesorios,16,4,20022
2023-01-06,2023,1,704000,Descuentos sobre ventas,15,11,-1961
